18;"e2";138;51;"2011-12-31";"21:07:44";1907292;528;"2011-12-31 21:07:44";"2012-02-19 14:30";2107;2553;844;749;2;0;"2011-06-04 16:40:58";2;22;18;15;0;517;2107;2553;"2011-12-31 21:03:55";"0:03:49";229
18;"e2";138;51;"2011-12-31";"19:23:26";1830668;550;"2011-12-31 19:23:26";"2012-02-19 14:30";2658;2543;1284;821;3;0;"2011-01-01 10:09:31";3;9;17;15;24;454;2658;2543;"2011-12-31 19:09:15";"0:14:11";851
18;"e2";138;51;"2011-12-31";"19:15:21";1525356;815;"2011-12-31 19:15:21";"2012-02-19 14:30";2151;2331;1192;1068;3;0;"2010-01-31 15:19:55";3;48;31;17;27;809;2151;2331;"2011-12-31 19:10:18";"0:05:03";303
18;"e2";138;51;"2011-12-31";"18:33:13";1905235;277;"2011-12-31 18:33:13";"2012-02-19 14:30";602;504;480;261;7;0;"2011-05-29 16:04:17";5;3;2;4;2;195;602;504;"2011-12-31 18:24:23";"0:08:50";530
18;"e2";138;51;"2011-12-31";"15:06:34";2024876;3;"2011-12-31 15:06:34";"2012-02-19 14:30";0;0;34;3;0;0;"2011-12-31 14:40:12";0;0;0;0;0;0;0;0;"2011-12-31 14:54:27";"0:12:07";727
5;"e1";168;98;"2011-01-18";"13:32:09";1778644;349;"2011-01-18 13:32:09";"2010-10-16 22:13";263;428;1402;279;14;1;"2010-11-12 15:37:04";11;11;14;10;2;82;263;428;"2011-01-18 13:18:17";"0:13:52";832
5;"e1";168;96;"2011-01-16";"20:12:34";1432744;865;"2011-01-16 20:12:34";"2010-10-16 22:13";3175;2766;1255;947;4;0;"2009-11-15 20:37:37";3;48;51;44;54;694;3175;2766;"2011-01-16 19:56:07";"0:16:27";987
5;"e1";168;88;"2011-01-08";"18:10:35";1778644;349;"2011-01-08 18:10:35";"2010-10-16 22:13";144;243;1402;239;14;1;"2010-11-12 15:37:04";11;9;12;8;2;64;144;243;"2011-01-08 16:52:56";"1:17:39";4659
5;"e1";168;86;"2011-01-06";"14:50:42";1432744;865;"2011-01-06 14:50:42";"2010-10-16 22:13";3080;2698;1255;891;4;0;"2009-11-15 20:37:37";2;44;48;40;52;667;3080;2698;"2011-01-06 13:35:56";"1:14:46";4486
5;"e1";168;80;"2010-12-31";"20:06:51";1743293;122;"2010-12-31 20:06:51";"2010-10-16 22:13";621;686;1533;563;13;1;"2010-09-19 20:58:37";11;95;58;73;36;71;621;686;"2010-12-31 19:44:18";"0:22:33";1353
5;"e1";168;79;"2010-12-30";"09:50:38";1778644;349;"2010-12-30 09:50:38";"2010-10-16 22:13";128;210;1402;213;14;1;"2010-11-12 15:37:04";11;6;8;5;2;53;128;210;"2010-12-30 09:40:15";"0:10:23";623
5;"e1";168;78;"2010-12-29";"18:04:56";1432744;865;"2010-12-29 18:04:56";"2010-10-16 22:13";2999;2578;1255;854;4;0;"2009-11-15 20:37:37";2;38;39;30;44;636;2999;2578;"2010-12-29 16:55:07";"1:09:49";4189
5;"e1";168;68;"2010-12-19";"11:25:39";1778644;349;"2010-12-19 11:25:39";"2010-10-16 22:13";107;158;1402;178;14;1;"2010-11-12 15:37:04";11;4;6;3;1;45;107;158;"2010-12-19 11:12:17";"0:13:22";802
5;"e1";168;60;"2010-12-10";"22:15:17";1432744;865;"2010-12-10 22:15:17";"2010-10-16 22:13";2903;2472;1255;831;4;0;"2009-11-15 20:37:37";2;35;35;26;40;615;2903;2472;"2010-12-10 21:48:11";"0:27:06";1626
5;"e1";168;56;"2010-12-07";"16:46:42";1432744;865;"2010-12-07 16:46:42";"2010-10-16 22:13";2841;2405;1255;813;4;0;"2009-11-15 20:37:37";2;32;28;20;30;595;2841;2405;"2010-12-07 16:37:43";"0:08:59";539
